icd10_code	icd10_phe
T868491	Unspecified complication of corneal transplant, right eye
G08	Intracranial and intraspinal phlebitis and thrombophlebitis
W18	Other slipping, tripping and stumbling and falls
L02425	Furuncle of right lower limb
H02823	Cysts of right eye, unspecified eyelid
M85561	Aneurysmal bone cyst, right lower leg
E0841	Diabetes mellitus due to underlying condition with diabetic mononeuropathy
T317	Burns involving 70-79% of body surface
T578	Toxic effect of other specified inorganic substances
G5792	Unspecified mononeuropathy of left lower limb
K6040	Rectal fistula, unspecified
M62569	Muscle wasting and atrophy, not elsewhere classified, unspecified lower leg
Q669	Congenital deformity of feet, unspecified
T23641	Corrosion of second degree of multiple right fingers (nail), including thumb
Y76	Obstetric and gynecological devices associated with adverse incidents
E048	Other specified nontoxic goiter
I13	Hypertensive heart and chronic kidney disease
O42912	Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor, second trimester
S01309	Unspecified open wound of unspecified ear
T2067	Corrosion of second degree of neck
C181	Malignant neoplasm of appendix
V9126	Fall due to collision between (nonpowered) inflatable craft and other watercraft or other object
H35362	Drusen (degenerative) of macula, left eye
R152	Fecal urgency
T563X3	Toxic effect of cadmium and its compounds, assault
M02842	Other reactive arthropathies, left hand
M2290	Unspecified disorder of patella, unspecified knee
S06376	Contusion, laceration, and hemorrhage of cerebellum with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving
O43119	Circumvallate placenta, unspecified trimester
S76091	Other specified injury of muscle, fascia and tendon of right hip
K6281	Anal sphincter tear (healed) (nontraumatic) (old)
H65	Nonsuppurative otitis media
K50913	Crohn's disease, unspecified, with fistula
M7520	Bicipital tendinitis, unspecified shoulder
S33	Dislocation and sprain of joints and ligaments of lumbar spine and pelvis
T24431	Corrosion of unspecified degree of right lower leg
T6392	Toxic effect of contact with unspecified venomous animal, intentional self-harm
D356	Benign neoplasm of aortic body and other paraganglia
R40242	Glasgow coma scale score 9-12
V0299	Pedestrian with other conveyance injured in collision with two- or three-wheeled motor vehicle, unspecified whether traffic or nontraffic accident
H95133	Mucosal cyst of postmastoidectomy cavity, bilateral ears
L512	Toxic epidermal necrolysis [Lyell]
M87079	Idiopathic aseptic necrosis of unspecified toe(s)
N211	Calculus in urethra
C50122	Malignant neoplasm of central portion of left male breast
H15841	Scleral ectasia, right eye
T2250	Corrosion of first degree of shoulder and upper limb, except wrist and hand unspecified site
H628	Other disorders of external ear in diseases classified elsewhere
S59232	Salter-Harris Type III physeal fracture of lower end of radius, left arm
Z3688	Encounter for antenatal screening for fetal macrosomia
I862	Pelvic varices
T24439	Corrosion of unspecified degree of unspecified lower leg
D3A011	Benign carcinoid tumor of the jejunum
Q67	Congenital musculoskeletal deformities of head, face, spine and chest
F339	Major depressive disorder, recurrent, unspecified
I69964	Other paralytic syndrome following unspecified cerebrovascular disease affecting left non-dominant side
S96121	Laceration of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot
H719	Unspecified cholesteatoma
E440	Moderate protein-calorie malnutrition
O0882	Sepsis following ectopic and molar pregnancy
T276	Corrosion of other parts of respiratory tract
Z87412	Personal history of vulvar dysplasia
S3095	Unspecified superficial injury of vagina and vulva
S63434	Traumatic rupture of volar plate of right ring finger at metacarpophalangeal and interphalangeal joint
F531	Puerperal psychosis
I70609	Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, unspecified extremity
O9881	Other maternal infectious and parasitic diseases complicating pregnancy
I25790	Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris
S6539	Other specified injury of deep palmar arch
D1601	Benign neoplasm of scapula and long bones of right upper limb
M1A371	Chronic gout due to renal impairment, right ankle and foot
S60519	Abrasion of unspecified hand
E8989	Other postprocedural endocrine and metabolic complications and disorders
Z9071	Acquired absence of cervix and uterus
F981	Encopresis not due to a substance or known physiological condition
T476X1	Poisoning by antidiarrheal drugs, accidental (unintentional)
T81598	Other complications of foreign body accidentally left in body following other procedure
H05123	Orbital myositis, bilateral
T392X4	Poisoning by pyrazolone derivatives, undetermined
B86	Scabies
S90512	Abrasion, left ankle
Z056	Observation and evaluation of newborn for suspected genitourinary condition ruled out
M47019	Anterior spinal artery compression syndromes, site unspecified
O114	Pre-existing hypertension with pre-eclampsia, complicating childbirth
S9341	Sprain of calcaneofibular ligament
Z385	Twin liveborn infant, unspecified as to place of birth
B352	Tinea manuum
M66341	Spontaneous rupture of flexor tendons, right hand
S24112	Complete lesion at T2-T6 level of thoracic spinal cord
C8334	Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb
H44413	Flat anterior chamber hypotony of eye, bilateral
H5441	Blindness, right eye, normal vision left eye
M501	Cervical disc disorder with radiculopathy
N178	Other acute kidney failure
R942	Abnormal results of pulmonary function studies
C4361	Malignant melanoma of right upper limb, including shoulder
H0235	Blepharochalasis left lower eyelid
L8993	Pressure ulcer of unspecified site, stage 3
T8561	Breakdown (mechanical) of other specified internal prosthetic devices, implants and grafts
R151	Fecal smearing
E71542	Other group 3 peroxisomal disorders
M218	Other specified acquired deformities of limbs
Q2119	Other specified atrial septal defect
R338	Other retention of urine
S1500	Unspecified injury of carotid artery
S60511	Abrasion of right hand
T436	Poisoning by, adverse effect of and underdosing of psychostimulants
Y3539	Legal intervention involving other blunt objects
M25412	Effusion, left shoulder
M60062	Infective myositis, left lower leg
S12391	Other nondisplaced fracture of fourth cervical vertebra
D2239	Melanocytic nevi of other parts of face
H04122	Dry eye syndrome of left lacrimal gland
Q244	Congenital subaortic stenosis
L02531	Carbuncle of right hand
M79669	Pain in unspecified lower leg
B730	Onchocerciasis with eye disease
M07622	Enteropathic arthropathies, left elbow
T25329	Burn of third degree of unspecified foot
F13131	Sedative, hypnotic or anxiolytic abuse with withdrawal delirium
I70421	Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg
R470	Dysphasia and aphasia
C813A	Lymphocyte depleted Hodgkin lymphoma, in remission
L722	Steatocystoma multiplex
O864	Pyrexia of unknown origin following delivery
V796	Unspecified bus occupant injured in collision with other and unspecified motor vehicles in traffic accident
H7092	Unspecified mastoiditis, left ear
M5136	Other intervertebral disc degeneration, lumbar region
S52601	Unspecified fracture of lower end of right ulna
T40416	Underdosing of fentanyl or fentanyl analogs
A031	Shigellosis due to Shigella flexneri
O40	Polyhydramnios
S3599	Other specified injury of unspecified blood vessel at abdomen, lower back and pelvis level
S62032	Displaced fracture of proximal third of navicular [scaphoid] bone of left wrist
H68001	Unspecified Eustachian salpingitis, right ear
S42294	Other nondisplaced fracture of upper end of right humerus
T83012	Breakdown (mechanical) of nephrostomy catheter
Y93A1	Activity, exercise machines primarily for cardiorespiratory conditioning
D48112	Desmoid tumor, intrathoracic
H60503	Unspecified acute noninfective otitis externa, bilateral
T23252	Burn of second degree of left palm
M79602	Pain in left arm
S2195	Open bite of unspecified part of thorax
M05131	Rheumatoid lung disease with rheumatoid arthritis of right wrist
S50	Superficial injury of elbow and forearm
W420	Exposure to supersonic waves
Z2009	Contact with and (suspected) exposure to other intestinal infectious diseases
S042	Injury of trochlear nerve
N80512	Deep endometriosis of the rectum
I515	Myocardial degeneration
Q7960	Ehlers-Danlos syndrome, unspecified
S7205	Unspecified fracture of head of femur
T375X1	Poisoning by antiviral drugs, accidental (unintentional)
I661	Occlusion and stenosis of anterior cerebral artery
I7092	Chronic total occlusion of artery of the extremities
R031	Nonspecific low blood-pressure reading
H59223	Accidental puncture and laceration of eye and adnexa during other procedure, bilateral
I7065	Atherosclerosis of nonbiological bypass graft(s) of other extremity with ulceration
S20461	Insect bite (nonvenomous) of right back wall of thorax
I63439	Cerebral infarction due to embolism of unspecified posterior cerebral artery
M14611	Charcot's joint, right shoulder
W565	Contact with other fish
Z529	Donor of unspecified organ or tissue
M6081	Other myositis shoulder
F315	Bipolar disorder, current episode depressed, severe, with psychotic features
M94219	Chondromalacia, unspecified shoulder
L237	Allergic contact dermatitis due to plants, except food
Q520	Congenital absence of vagina
S60447	External constriction of left little finger
Q5270	Unspecified congenital malformations of vulva
M65171	Other infective (teno)synovitis, right ankle and foot
M86352	Chronic multifocal osteomyelitis, left femur
M25121	Fistula, right elbow
A99	Unspecified viral hemorrhagic fever
F4541	Pain disorder exclusively related to psychological factors
G700	Myasthenia gravis
M89168	Other physeal arrest of lower leg
H68123	Intrinsic cartilagenous obstruction of Eustachian tube, bilateral
M66	Spontaneous rupture of synovium and tendon
B740	Filariasis due to Wuchereria bancrofti
C84Z7	Other mature T/NK-cell lymphomas, spleen
H59033	Cystoid macular edema following cataract surgery, bilateral
K123	Oral mucositis (ulcerative)
Y831	Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
L7451	Primary focal hyperhidrosis
M88871	Osteitis deformans of right ankle and foot
V0499	Pedestrian with other conveyance injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident
M06362	Rheumatoid nodule, left knee
T431	Poisoning by, adverse effect of and underdosing of monoamine-oxidase-inhibitor antidepressants
G442	Tension-type headache
B070	Plantar wart
T20219	Burn of second degree of unspecified ear [any part, except ear drum]
T25219	Burn of second degree of unspecified ankle
J95851	Ventilator associated pneumonia
S9490	Injury of unspecified nerve at ankle and foot level, unspecified leg
S51039	Puncture wound without foreign body of unspecified elbow
M24331	Pathological dislocation of right wrist, not elsewhere classified
H5361	Abnormal dark adaptation curve
F1897	Inhalant use, unspecified with inhalant-induced persisting dementia
S42363	Displaced segmental fracture of shaft of humerus, unspecified arm
M60061	Infective myositis, right lower leg
M05061	Felty's syndrome, right knee
S40272	Other superficial bite of left shoulder
O4500	Premature separation of placenta with coagulation defect, unspecified
E09610	Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy
V244	Motorcycle driver injured in collision with heavy transport vehicle or bus in traffic accident
X80	Intentional self-harm by jumping from a high place
V11	Pedal cycle rider injured in collision with other pedal cycle
T212	Burn of second degree of trunk
J982	Interstitial emphysema
S4430	Injury of axillary nerve, unspecified arm
H15821	Localized anterior staphyloma, right eye
O249	Unspecified diabetes mellitus in pregnancy, childbirth and the puerperium
L02412	Cutaneous abscess of left axilla
T88	Other complications of surgical and medical care, not elsewhere classified
I97	Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified
Y9279	Other farm location as the place of occurrence of the external cause
H2003	Secondary infectious iridocyclitis
S93514	Sprain of interphalangeal joint of right lesser toe(s)
H02835	Dermatochalasis of left lower eyelid
K941	Enterostomy complications
S99039	Salter-Harris Type III physeal fracture of unspecified calcaneus
G903	Multi-system degeneration of the autonomic nervous system
P3619	Sepsis of newborn due to other streptococci
M6217	Other rupture of muscle (nontraumatic), ankle and foot
S85802	Unspecified injury of other blood vessels at lower leg level, left leg
V9312	Other burn on board fishing boat
I351	Nonrheumatic aortic (valve) insufficiency
H35123	Retinopathy of prematurity, stage 1, bilateral
Z866	Personal history of diseases of the nervous system and sense organs
T8732	Neuroma of amputation stump, left upper extremity
H5501	Congenital nystagmus
M21511	Acquired clawhand, right hand
M66362	Spontaneous rupture of flexor tendons, left lower leg
M67921	Unspecified disorder of synovium and tendon, right upper arm
S1212	Other dens fracture
T503X5	Adverse effect of electrolytic, caloric and water-balance agents
E7419	Other disorders of fructose metabolism
M2650	Dentofacial functional abnormalities, unspecified
T43014	Poisoning by tricyclic antidepressants, undetermined
V9135	Hit or struck by falling object due to accident to canoe or kayak
Z599	Problem related to housing and economic circumstances, unspecified
I480	Paroxysmal atrial fibrillation
E0901	Drug or chemical induced diabetes mellitus with hyperosmolarity with coma
Z86011	Personal history of benign neoplasm of the brain
H18033	Corneal deposits in metabolic disorders, bilateral
K8081	Other cholelithiasis with obstruction
Z562	Threat of job loss
A1859	Other tuberculosis of eye
C768	Malignant neoplasm of other specified ill-defined sites
F17200	Nicotine dependence, unspecified, uncomplicated
I69169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
H53121	Transient visual loss, right eye
J09X	Influenza due to identified novel influenza A virus
Q851	Tuberous sclerosis
T84119	Breakdown (mechanical) of internal fixation device of unspecified bone of limb
B333	Retrovirus infections, not elsewhere classified
S21232	Puncture wound without foreign body of left back wall of thorax without penetration into thoracic cavity
Z791	Long term (current) use of non-steroidal anti-inflammatories (NSAID)
H3403	Transient retinal artery occlusion, bilateral
L02223	Furuncle of chest wall
M84478	Pathological fracture, left toe(s)
V270	Motorcycle driver injured in collision with fixed or stationary object in nontraffic accident
S7311	Iliofemoral ligament sprain of hip
H10239	Serous conjunctivitis, except viral, unspecified eye
S37892	Contusion of other urinary and pelvic organ
M87173	Osteonecrosis due to drugs, unspecified ankle
S61210	Laceration without foreign body of right index finger without damage to nail
T85611	Breakdown (mechanical) of intraperitoneal dialysis catheter
V29101	Electric (assisted) bicycle passenger injured in collision with unspecified motor vehicles in nontraffic accident
Z7729	Contact with and (suspected) exposure to other hazardous substances
Q431	Hirschsprung's disease
Z569	Unspecified problems related to employment
F129	Cannabis use, unspecified
H18721	Corneal staphyloma, right eye
O0889	Other complications following an ectopic and molar pregnancy
Q901	Trisomy 21, mosaicism (mitotic nondisjunction)
R85618	Other abnormal cytological findings on specimens from anus
Y93E1	Activity, personal bathing and showering
Z8411	Family history of APOL1-mediated kidney disease [AMKD]
M24052	Loose body in left hip
M85331	Osteitis condensans, right forearm
S21121	Laceration with foreign body of right front wall of thorax without penetration into thoracic cavity
S2135	Open bite of front wall of thorax with penetration into thoracic cavity
V91	Other injury due to accident to watercraft
S70369	Insect bite (nonvenomous), unspecified thigh
T43501	Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional)
V94811	Civilian in water injured by military watercraft
I87339	Chronic venous hypertension (idiopathic) with ulcer and inflammation of unspecified lower extremity
Q274	Congenital phlebectasia
L97314	Non-pressure chronic ulcer of right ankle with necrosis of bone
C786	Secondary malignant neoplasm of retroperitoneum and peritoneum
F11182	Opioid abuse with opioid-induced sleep disorder
S56521	Laceration of other extensor muscle, fascia and tendon at forearm level, right arm
M0205	Arthropathy following intestinal bypass, hip
M08849	Other juvenile arthritis, unspecified hand
T498X2	Poisoning by other topical agents, intentional self-harm
T523X1	Toxic effect of glycols, accidental (unintentional)
T560X2	Toxic effect of lead and its compounds, intentional self-harm
N3643	Combined hypermobility of urethra and intrinsic sphincter deficiency
N925	Other specified irregular menstruation
S2690	Unspecified injury of heart, unspecified with or without hemopericardium
M8977	Major osseous defect, ankle and foot
H4041	Glaucoma secondary to eye inflammation, right eye
K00	Disorders of tooth development and eruption
N970	Female infertility associated with anovulation
S1240	Unspecified fracture of fifth cervical vertebra
H618	Other specified disorders of external ear
Q793	Gastroschisis
V2131	Person boarding or alighting an electric (assisted) bicycle injured in collision with pedal cycle
T24722	Corrosion of third degree of left knee
D68312	Antiphospholipid antibody with hemorrhagic disorder
S06895	Other specified intracranial injury with loss of consciousness greater than 24 hours with return to pre-existing conscious level
S14	Injury of nerves and spinal cord at neck level
S72035	Nondisplaced midcervical fracture of left femur
O2640	Herpes gestationis, unspecified trimester
T45601	Poisoning by unspecified fibrinolysis-affecting drugs, accidental (unintentional)
V0690	Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident
S52334	Nondisplaced oblique fracture of shaft of right radius
C7650	Malignant neoplasm of unspecified lower limb
T401X4	Poisoning by heroin, undetermined
O9089	Other complications of the puerperium, not elsewhere classified
S2040	Unspecified superficial injuries of back wall of thorax
M61	Calcification and ossification of muscle
S02402	Zygomatic fracture, unspecified side
S32691	Other specified fracture of right ischium
Y3519	Legal intervention involving other explosives
T381	Poisoning by, adverse effect of and underdosing of thyroid hormones and substitutes
S81851	Open bite, right lower leg
T84061	Wear of articular bearing surface of internal prosthetic left hip joint
H02855	Elephantiasis of left lower eyelid
M0521	Rheumatoid vasculitis with rheumatoid arthritis of shoulder
R739	Hyperglycemia, unspecified
O99335	Smoking (tobacco) complicating the puerperium
V00898	Other accident on other pedestrian conveyance
N065	Isolated proteinuria with diffuse mesangiocapillary glomerulonephritis
L03112	Cellulitis of left axilla
O346	Maternal care for abnormality of vagina
T50Z15	Adverse effect of immunoglobulin
H11131	Conjunctival pigmentations, right eye
R1012	Left upper quadrant pain
M0235	Reiter's disease, hip
M057	Rheumatoid arthritis with rheumatoid factor without organ or systems involvement
S58912	Complete traumatic amputation of left forearm, level unspecified
L98A29	Non-pressure chronic ulcer of unspecified forearm
R87612	Low grade squamous intraepithelial lesion on cytologic smear of cervix (LGSIL)
Y781	Therapeutic (nonsurgical) and rehabilitative radiological devices associated with adverse incidents
D5745	Sickle-cell thalassemia beta plus with crisis
M71171	Other infective bursitis, right ankle and foot
A259	Rat-bite fever, unspecified
C9290	Myeloid leukemia, unspecified, not having achieved remission
Y3724	Military operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device
O9871	Human immunodeficiency virus [HIV] disease complicating pregnancy
T84030	Mechanical loosening of internal right hip prosthetic joint
P0717	Other low birth weight newborn, 1750-1999 grams
V465	Car driver injured in collision with other nonmotor vehicle in traffic accident
Y93D9	Activity, other involving arts and handcrafts
H02052	Trichiasis without entropion right lower eyelid
Z87430	Personal history of prostatic dysplasia
M24421	Recurrent dislocation, right elbow
M089	Juvenile arthritis, unspecified
O037	Embolism following complete or unspecified spontaneous abortion
I70628	Atherosclerosis of nonbiological bypass graft(s) of the extremities with rest pain, other extremity
T2142	Corrosion of unspecified degree of abdominal wall
G908	Other disorders of autonomic nervous system
O43011	Fetomaternal placental transfusion syndrome, first trimester
T2117	Burn of first degree of female genital region
L03125	Acute lymphangitis of right lower limb
S90472	Other superficial bite of left great toe
B72	Dracunculiasis
G712	Congenital myopathies
H18422	Band keratopathy, left eye
Y038	Other assault by crashing of motor vehicle
S4680	Unspecified injury of other muscles, fascia and tendons at shoulder and upper arm level
C44692	Other specified malignant neoplasm of skin of right upper limb, including shoulder
L0203	Carbuncle of face
T2114	Burn of first degree of lower back
L89102	Pressure ulcer of unspecified part of back, stage 2
R82993	Hyperuricosuria
G20B	Parkinson's disease with dyskinesia
M90	Osteopathies in diseases classified elsewhere
H6591	Unspecified nonsuppurative otitis media, right ear
H02216	Cicatricial lagophthalmos left eye, unspecified eyelid
M4608	Spinal enthesopathy, sacral and sacrococcygeal region
S15391	Other specified injury of right internal jugular vein
A5059	Other late congenital syphilis, symptomatic
V84	Occupant of special vehicle mainly used in agriculture injured in transport accident
S30866	Insect bite (nonvenomous) of unspecified external genital organs, female
S62350	Nondisplaced fracture of shaft of second metacarpal bone, right hand
M2664	Arthritis of temporomandibular joint
S0096	Insect bite (nonvenomous) of unspecified part of head
T22341	Burn of third degree of right axilla
Z96661	Presence of right artificial ankle joint
C946	Myelodysplastic disease, not elsewhere classified
M2464	Ankylosis, hand
Y382X1	Terrorism involving other explosions and fragments, public safety official injured
Z03822	Encounter for observation for suspected aspirated (inhaled) foreign body ruled out
D37030	Neoplasm of uncertain behavior of the parotid salivary glands
M11262	Other chondrocalcinosis, left knee
K60413	Rectal fistula, simple, recurrent
S72435	Nondisplaced fracture of medial condyle of left femur
S43083	Other subluxation of unspecified shoulder joint
M1252	Traumatic arthropathy, elbow
T835	Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system
Y3691	War operations involving unspecified weapon of mass destruction [WMD]
C4490	Unspecified malignant neoplasm of skin, unspecified
Q070	Arnold-Chiari syndrome
O4700	False labor before 37 completed weeks of gestation, unspecified trimester
S60463	Insect bite (nonvenomous) of left middle finger
O99322	Drug use complicating pregnancy, second trimester
V00182	Pedestrian on other rolling-type pedestrian conveyance colliding with stationary object
S12120	Other displaced dens fracture
M1480	Arthropathies in other specified diseases classified elsewhere, unspecified site
C4A0	Merkel cell carcinoma of lip
T39014	Poisoning by aspirin, undetermined
S3902	Laceration of muscle, fascia and tendon of abdomen, lower back and pelvis
Y07	Perpetrator of assault, maltreatment and neglect
H10429	Simple chronic conjunctivitis, unspecified eye
H04132	Lacrimal cyst, left lacrimal gland
I4729	Other ventricular tachycardia
M7118	Other infective bursitis, other site
C441922	Other specified malignant neoplasm of skin of right lower eyelid, including canthus
V557	Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident
Z8751	Personal history of pre-term labor
A5057	Syphilitic saddle nose
H02154	Paralytic ectropion of left upper eyelid
Q6419	Other exstrophy of urinary bladder
O418X1	Other specified disorders of amniotic fluid and membranes, first trimester
Q999	Chromosomal abnormality, unspecified
H44613	Retained (old) magnetic foreign body in anterior chamber, bilateral
G904	Autonomic dysreflexia
T202	Burn of second degree of head, face, and neck
S057	Avulsion of eye
T380X2	Poisoning by glucocorticoids and synthetic analogues, intentional self-harm
E762	Other mucopolysaccharidoses
F11159	Opioid abuse with opioid-induced psychotic disorder, unspecified
X13	Contact with steam and other hot vapors
S4422	Injury of radial nerve at upper arm level, left arm
H6090	Unspecified otitis externa, unspecified ear
T40492	Poisoning by other synthetic narcotics, intentional self-harm
T83190	Other mechanical complication of urinary electronic stimulator device
M66872	Spontaneous rupture of other tendons, left ankle and foot
S71119	Laceration without foreign body, unspecified thigh
Z13810	Encounter for screening for upper gastrointestinal disorder
S21139	Puncture wound without foreign body of unspecified front wall of thorax without penetration into thoracic cavity
T550	Toxic effect of soaps
T8285	Stenosis due to cardiac and vascular prosthetic devices, implants and grafts
L98A216	Non-pressure chronic ulcer of right forearm with bone involvement without evidence of necrosis
M13842	Other specified arthritis, left hand
O200	Threatened abortion
A074	Cyclosporiasis
S6802	Partial traumatic metacarpophalangeal amputation of thumb
S01521	Laceration with foreign body of lip
P780	Perinatal intestinal perforation
M11029	Hydroxyapatite deposition disease, unspecified elbow
T84293	Other mechanical complication of internal fixation device of bones of foot and toes
H00033	Abscess of eyelid right eye, unspecified eyelid
Z028	Encounter for other administrative examinations
M87341	Other secondary osteonecrosis, right hand
Z01021	Encounter for examination of eyes and vision following failed vision screening with abnormal findings
S7304	Central subluxation and dislocation of hip
G5621	Lesion of ulnar nerve, right upper limb
H1002	Other mucopurulent conjunctivitis
S11031	Laceration without foreign body of vocal cord
S06341	Traumatic hemorrhage of right cerebrum with loss of consciousness of 30 minutes or less
Z8744	Personal history of diseases of urinary system
S9250	Unspecified fracture of lesser toe(s)
S30846	External constriction of unspecified external genital organs, female
I16	Hypertensive crisis
P393	Neonatal urinary tract infection
G893	Neoplasm related pain (acute) (chronic)
S73041	Central subluxation of right hip
D354	Benign neoplasm of pineal gland
S6520	Unspecified injury of superficial palmar arch
S8511	Laceration of unspecified tibial artery
C44390	Other specified malignant neoplasm of skin of unspecified parts of face
I69390	Apraxia following cerebral infarction
M1832	Unilateral post-traumatic osteoarthritis of first carpometacarpal joint, left hand
S62212	Bennett's fracture, left hand
Q111	Other anophthalmos
V0302	Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident
O101	Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium
H68119	Osseous obstruction of Eustachian tube, unspecified ear
L89604	Pressure ulcer of unspecified heel, stage 4
S6702	Crushing injury of left thumb
M60004	Infective myositis, unspecified left leg
F302	Manic episode, severe with psychotic symptoms
K12	Stomatitis and related lesions
S3130	Unspecified open wound of scrotum and testes
M05232	Rheumatoid vasculitis with rheumatoid arthritis of left wrist
S01121	Laceration with foreign body of right eyelid and periocular area
S9221	Fracture of cuboid bone
H02401	Unspecified ptosis of right eyelid
S3260	Unspecified fracture of ischium
B375	Candidal meningitis
T25199	Burn of first degree of multiple sites of unspecified ankle and foot
M532X4	Spinal instabilities, thoracic region
Y380X	Terrorism involving explosion of marine weapons
Z8962	Acquired absence of hip
A959	Yellow fever, unspecified
M1185	Other specified crystal arthropathies, hip
G4440	Drug-induced headache, not elsewhere classified, not intractable
H04301	Unspecified dacryocystitis of right lacrimal passage
M8002	Age-related osteoporosis with current pathological fracture, humerus
C8293	Follicular lymphoma, unspecified, intra-abdominal lymph nodes
M2534	Other instability, hand
Z6901	Encounter for mental health services for parental child abuse
A212	Pulmonary tularemia
F19932	Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance
M00261	Other streptococcal arthritis, right knee
M62249	Nontraumatic ischemic infarction of muscle, unspecified hand
V8663	Passenger of dune buggy injured in nontraffic accident
D560	Alpha thalassemia
E641	Sequelae of vitamin A deficiency
H50679	Superior rectus muscle entrapment, unspecified eye
M31	Other necrotizing vasculopathies
H5333	Simultaneous visual perception without fusion
M00071	Staphylococcal arthritis, right ankle and foot
M21512	Acquired clawhand, left hand
T34511	Frostbite with tissue necrosis of right wrist
T81507	Unspecified complication of foreign body accidentally left in body following removal of catheter or packing
D572	Sickle-cell/Hb-C disease
D57452	Sickle-cell thalassemia beta plus with splenic sequestration
H11813	Pseudopterygium of conjunctiva, bilateral
T596	Toxic effect of hydrogen sulfide
H35713	Central serous chorioretinopathy, bilateral
M9683	Postprocedural hemorrhage of a musculoskeletal structure following a procedure
O295X2	Other complications of spinal and epidural anesthesia during pregnancy, second trimester
C8476	Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes
S95899	Other specified injury of other blood vessels at ankle and foot level, unspecified leg
I6200	Nontraumatic subdural hemorrhage, unspecified
H35311	Nonexudative age-related macular degeneration, right eye
M60119	Interstitial myositis, unspecified shoulder
S92025	Nondisplaced fracture of anterior process of left calcaneus
Y93B	Activities involving other muscle strengthening exercises
M948X1	Other specified disorders of cartilage, shoulder
S89041	Salter-Harris Type IV physeal fracture of upper end of right tibia
C92A2	Acute myeloid leukemia with multilineage dysplasia, in relapse
O2311	Infections of bladder in pregnancy, first trimester
P0515	Newborn small for gestational age, 1250-1499 grams
T7849	Other allergy
I6302	Cerebral infarction due to thrombosis of basilar artery
M25261	Flail joint, right knee
S66113	Strain of flexor muscle, fascia and tendon of left middle finger at wrist and hand level
Z89622	Acquired absence of left hip joint
R601	Generalized edema
R88	Abnormal findings in other body fluids and substances
S789	Traumatic amputation of hip and thigh, level unspecified
B007	Disseminated herpesviral disease
M8726	Osteonecrosis due to previous trauma, tibia and fibula
I97810	Intraoperative cerebrovascular infarction during cardiac surgery
J311	Chronic nasopharyngitis
L98A291	Non-pressure chronic ulcer of unspecified forearm limited to breakdown of skin
O4102	Oligohydramnios, second trimester
R45850	Homicidal ideations
S32028	Other fracture of second lumbar vertebra
M052	Rheumatoid vasculitis with rheumatoid arthritis
M8622	Subacute osteomyelitis, humerus
T2119	Burn of first degree of other site of trunk
T43615	Adverse effect of caffeine
M9947	Connective tissue stenosis of neural canal of upper extremity
S99241	Salter-Harris Type IV physeal fracture of phalanx of right toe
S7511	Minor laceration of femoral vein at hip and thigh level
C71	Malignant neoplasm of brain
H6053	Acute contact otitis externa
S91021	Laceration with foreign body, right ankle
L89010	Pressure ulcer of right elbow, unstageable
N025	Recurrent and persistent hematuria with diffuse mesangiocapillary glomerulonephritis
L14	Bullous disorders in diseases classified elsewhere
Q259	Congenital malformation of great arteries, unspecified
H3142	Serous choroidal detachment
R10826	Epigastric rebound abdominal tenderness
Y07435	Stepbrother, perpetrator of maltreatment and neglect
L024	Cutaneous abscess, furuncle and carbuncle of limb
V61	Occupant of heavy transport vehicle injured in collision with pedal cycle
Z97	Presence of other devices
S98121	Partial traumatic amputation of right great toe
F12188	Cannabis abuse with other cannabis-induced disorder
M913	Pseudocoxalgia
O033	Other and unspecified complications following incomplete spontaneous abortion
B419	Paracoccidioidomycosis, unspecified
P0440	Newborn affected by maternal use of unspecified drugs of addiction
M2331	Other meniscus derangements, anterior horn of medial meniscus
T23749	Corrosion of third degree of unspecified multiple fingers (nail), including thumb
Z5972	Insufficient welfare support
T50995	Adverse effect of other drugs, medicaments and biological substances
O0489	(Induced) termination of pregnancy with other complications
O295X1	Other complications of spinal and epidural anesthesia during pregnancy, first trimester
S34122	Incomplete lesion of L2 level of lumbar spinal cord
Z6838	Body mass index [BMI] 38.0-38.9, adult
