icd9_code	icd9_phe	potential_matches
64721	Other venereal diseases of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition	ICD10_code:O9832:phenoname:Other infections with a predominantly sexual mode of transmission complicating childbirth|ICD10_code:O98313:phenoname:Other infections with a predominantly sexual mode of transmission complicating pregnancy, third trimester|ICD10_code:O98312:phenoname:Other infections with a predominantly sexual mode of transmission complicating pregnancy, second trimester|ICD10_code:O98311:phenoname:Other infections with a predominantly sexual mode of transmission complicating pregnancy, first trimester
64793	Unspecified infection or infestation of mother, antepartum condition or complication	ICD10_code:O98913:phenoname:Unspecified maternal infectious and parasitic disease complicating pregnancy, third trimester|ICD10_code:O98912:phenoname:Unspecified maternal infectious and parasitic disease complicating pregnancy, second trimester|ICD10_code:O98911:phenoname:Unspecified maternal infectious and parasitic disease complicating pregnancy, first trimester
2552	Adrenogenital disorders	ICD10_code:E259:phenoname:Adrenogenital disorder, unspecified|ICD10_code:E258:phenoname:Other adrenogenital disorders|ICD10_code:E250:phenoname:Congenital adrenogenital disorders associated with enzyme deficiency
96903	Poisoning by selective serotonin reuptake inhibitors	ICD10_code:T43224A:phenoname:Poisoning by selective serotonin reuptake inhibitors, undetermined, initial encounter|ICD10_code:T43223A:phenoname:Poisoning by selective serotonin reuptake inhibitors, assault, initial encounter|ICD10_code:T43222A:phenoname:Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter|ICD10_code:T43221A:phenoname:Poisoning by selective serotonin reuptake inhibitors, accidental (unintentional), initial encounter
1869	Malignant neoplasm of other and unspecified testis	ICD10_code:C6290:phenoname:Malignant neoplasm of unspecified testis, unspecified whether descended or undescended|ICD10_code:C6210:phenoname:Malignant neoplasm of unspecified descended testis
96909	Poisoning by other antidepressants	ICD10_code:T43294A:phenoname:Poisoning by other antidepressants, undetermined, initial encounter|ICD10_code:T43293A:phenoname:Poisoning by other antidepressants, assault, initial encounter|ICD10_code:T43292A:phenoname:Poisoning by other antidepressants, intentional self-harm, initial encounter|ICD10_code:T43291A:phenoname:Poisoning by other antidepressants, accidental (unintentional), initial encounter
52461	Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)	ICD10_code:M26619:phenoname:Adhesions and ankylosis of temporomandibular joint, unspecified side|ICD10_code:M26613:phenoname:Adhesions and ankylosis of bilateral temporomandibular joint|ICD10_code:M26612:phenoname:Adhesions and ankylosis of left temporomandibular joint|ICD10_code:M26611:phenoname:Adhesions and ankylosis of right temporomandibular joint
81612	Open fracture of distal phalanx or phalanges of hand	ICD10_code:S62669B:phenoname:Nondisplaced fracture of distal phalanx of unspecified finger, initial encounter for open fracture|ICD10_code:S62639B:phenoname:Displaced fracture of distal phalanx of unspecified finger, initial encounter for open fracture|ICD10_code:S62526B:phenoname:Nondisplaced fracture of distal phalanx of unspecified thumb, initial encounter for open fracture|ICD10_code:S62523B:phenoname:Displaced fracture of distal phalanx of unspecified thumb, initial encounter for open fracture
7142	Other rheumatoid arthritis with visceral or systemic involvement	ICD10_code:M061:phenoname:Adult-onset Still's disease|ICD10_code:M0560:phenoname:Rheumatoid arthritis of unspecified site with involvement of other organs and systems|ICD10_code:M0530:phenoname:Rheumatoid heart disease with rheumatoid arthritis of unspecified site
69271	Sunburn	ICD10_code:L559:phenoname:Sunburn, unspecified|ICD10_code:L550:phenoname:Sunburn of first degree
99609	Other mechanical complication of cardiac device, implant, and graft	ICD10_code:T82598A:phenoname:Other mechanical complication of other cardiac and vascular devices and implants, initial encounter|ICD10_code:T82538A:phenoname:Leakage of other cardiac and vascular devices and implants, initial encounter|ICD10_code:T82528A:phenoname:Displacement of other cardiac and vascular devices and implants, initial encounter|ICD10_code:T82518A:phenoname:Breakdown (mechanical) of other cardiac and vascular devices and implants, initial encounter|ICD10_code:T82228A:phenoname:Other mechanical complication of biological heart valve graft, initial encounter|ICD10_code:T82223A:phenoname:Leakage of biological heart valve graft, initial encounter|ICD10_code:T82222A:phenoname:Displacement of biological heart valve graft, initial encounter|ICD10_code:T82221A:phenoname:Breakdown (mechanical) of biological heart valve graft, initial encounter
1718	Malignant neoplasm of other specified sites of connective and other soft tissue	ICD10_code:C498:phenoname:Malignant neoplasm of overlapping sites of connective and soft tissue|ICD10_code:C478:phenoname:Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
1922	Malignant neoplasm of spinal cord	ICD10_code:C721:phenoname:Malignant neoplasm of cauda equina|ICD10_code:C720:phenoname:Malignant neoplasm of spinal cord
94427	Blisters, epidermal loss [second degree] of wrist	ICD10_code:T23679A:phenoname:Corrosion of second degree of unspecified wrist, initial encounter|ICD10_code:T23279A:phenoname:Burn of second degree of unspecified wrist, initial encounter
38532	Cholesteatoma of middle ear	ICD10_code:H7440:phenoname:Polyp of middle ear, unspecified ear|ICD10_code:H7113:phenoname:Cholesteatoma of tympanum, bilateral
2751	Disorders of copper metabolism	ICD10_code:E8309:phenoname:Other disorders of copper metabolism|ICD10_code:E8301:phenoname:Wilson's disease|ICD10_code:E8300:phenoname:Disorder of copper metabolism, unspecified
6829	Cellulitis and abscess of unspecified sites	ICD10_code:L0391:phenoname:Acute lymphangitis, unspecified|ICD10_code:L0390:phenoname:Cellulitis, unspecified
9911	Frostbite of hand	ICD10_code:T34529A:phenoname:Frostbite with tissue necrosis of unspecified hand, initial encounter|ICD10_code:T33529A:phenoname:Superficial frostbite of unspecified hand, initial encounter
81102	Closed fracture of coracoid process of scapula	ICD10_code:S42136A:phenoname:Nondisplaced fracture of coracoid process, unspecified shoulder, initial encounter for closed fracture|ICD10_code:S42133A:phenoname:Displaced fracture of coracoid process, unspecified shoulder, initial encounter for closed fracture
7102	Sicca syndrome	ICD10_code:M3501:phenoname:Sicca syndrome with keratoconjunctivitis|ICD10_code:M3500:phenoname:Sicca syndrome, unspecified
8970	Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, without mention of complication	ICD10_code:S88129A:phenoname:Partial traumatic amputation at level between knee and ankle, unspecified lower leg, initial encounter|ICD10_code:S88119A:phenoname:Complete traumatic amputation at level between knee and ankle, unspecified lower leg, initial encounter
9693	Poisoning by other antipsychotics, neuroleptics, and major tranquilizers	ICD10_code:T43594A:phenoname:Poisoning by other antipsychotics and neuroleptics, undetermined, initial encounter|ICD10_code:T43593A:phenoname:Poisoning by other antipsychotics and neuroleptics, assault, initial encounter|ICD10_code:T43592A:phenoname:Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter|ICD10_code:T43591A:phenoname:Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter|ICD10_code:T43504A:phenoname:Poisoning by unspecified antipsychotics and neuroleptics, undetermined, initial encounter|ICD10_code:T43503A:phenoname:Poisoning by unspecified antipsychotics and neuroleptics, assault, initial encounter|ICD10_code:T43502A:phenoname:Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter|ICD10_code:T43501A:phenoname:Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional), initial encounter
8221	Open fracture of patella	ICD10_code:S82009C:phenoname:Unspecified fracture of unspecified patella, initial encounter for open fracture type IIIA, IIIB, or IIIC|ICD10_code:S82009B:phenoname:Unspecified fracture of unspecified patella, initial encounter for open fracture type I or II
36203	Nonproliferative diabetic retinopathy NOS	ICD10_code:E113299:phenoname:Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye|ICD10_code:E113293:phenoname:Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral|ICD10_code:E113292:phenoname:Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye|ICD10_code:E113291:phenoname:Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye
6232	Stricture or atresia of vagina	ICD10_code:N992:phenoname:Postprocedural adhesions of vagina|ICD10_code:N895:phenoname:Stricture and atresia of vagina
9093	Late effect of complications of surgical and medical care	ICD10_code:T889XXS:phenoname:Complication of surgical and medical care, unspecified, sequela|ICD10_code:T82856S:phenoname:Stenosis of peripheral vascular stent, sequela|ICD10_code:T82855S:phenoname:Stenosis of coronary artery stent, sequela
9351	Foreign body in esophagus	ICD10_code:T18198A:phenoname:Other foreign object in esophagus causing other injury, initial encounter|ICD10_code:T18190A:phenoname:Other foreign object in esophagus causing compression of trachea, initial encounter|ICD10_code:T18128A:phenoname:Food in esophagus causing other injury, initial encounter|ICD10_code:T18120A:phenoname:Food in esophagus causing compression of trachea, initial encounter|ICD10_code:T18118A:phenoname:Gastric contents in esophagus causing other injury, initial encounter|ICD10_code:T18110A:phenoname:Gastric contents in esophagus causing compression of trachea, initial encounter|ICD10_code:T18108A:phenoname:Unspecified foreign body in esophagus causing other injury, initial encounter|ICD10_code:T18100A:phenoname:Unspecified foreign body in esophagus causing compression of trachea, initial encounter
7384	Acquired spondylolisthesis	ICD10_code:M4310:phenoname:Spondylolisthesis, site unspecified|ICD10_code:M4300:phenoname:Spondylolysis, site unspecified
9243	Contusion of toe	ICD10_code:S90229A:phenoname:Contusion of unspecified lesser toe(s) with damage to nail, initial encounter|ICD10_code:S90129A:phenoname:Contusion of unspecified lesser toe(s) without damage to nail, initial encounter|ICD10_code:S90119A:phenoname:Contusion of unspecified great toe without damage to nail, initial encounter
9308	Foreign body in other and combined sites on external eye	ICD10_code:T1582XA:phenoname:Foreign body in other and multiple parts of external eye, left eye, initial encounter|ICD10_code:T1581XA:phenoname:Foreign body in other and multiple parts of external eye, right eye, initial encounter|ICD10_code:T1580XA:phenoname:Foreign body in other and multiple parts of external eye, unspecified eye, initial encounter
17352	Squamous cell carcinoma of skin of trunk, except scrotum	ICD10_code:C44529:phenoname:Squamous cell carcinoma of skin of other part of trunk|ICD10_code:C44521:phenoname:Squamous cell carcinoma of skin of breast|ICD10_code:C44520:phenoname:Squamous cell carcinoma of anal skin
7234	Brachial neuritis or radiculitis NOS	ICD10_code:M5413:phenoname:Radiculopathy, cervicothoracic region|ICD10_code:M5412:phenoname:Radiculopathy, cervical region
37823	Intermittent exotropia, monocular	ICD10_code:H50332:phenoname:Intermittent monocular exotropia, left eye|ICD10_code:H50331:phenoname:Intermittent monocular exotropia, right eye
52331	Aggressive periodontitis, localized	ICD10_code:K05219:phenoname:Aggressive periodontitis, localized, unspecified severity|ICD10_code:K05213:phenoname:Aggressive periodontitis, localized, severe|ICD10_code:K05212:phenoname:Aggressive periodontitis, localized, moderate|ICD10_code:K05211:phenoname:Aggressive periodontitis, localized, slight
1726	Malignant melanoma of skin of upper limb, including shoulder	ICD10_code:D0362:phenoname:Melanoma in situ of left upper limb, including shoulder|ICD10_code:D0361:phenoname:Melanoma in situ of right upper limb, including shoulder|ICD10_code:D0360:phenoname:Melanoma in situ of unspecified upper limb, including shoulder|ICD10_code:C4360:phenoname:Malignant melanoma of unspecified upper limb, including shoulder
20100	Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites	ICD10_code:C8179:phenoname:Other Hodgkin lymphoma, extranodal and solid organ sites|ICD10_code:C8170:phenoname:Other Hodgkin lymphoma, unspecified site
73329	Other bone cyst	ICD10_code:M8560:phenoname:Other cyst of bone, unspecified site|ICD10_code:M8500:phenoname:Fibrous dysplasia (monostotic), unspecified site
74721	Anomalies of aortic arch	ICD10_code:Q2547:phenoname:Right aortic arch|ICD10_code:Q2546:phenoname:Tortuous aortic arch|ICD10_code:Q2545:phenoname:Double aortic arch
81315	Open fracture of head of radius	ICD10_code:S52126C:phenoname:Nondisplaced fracture of head of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC|ICD10_code:S52126B:phenoname:Nondisplaced fracture of head of unspecified radius, initial encounter for open fracture type I or II|ICD10_code:S52123C:phenoname:Displaced fracture of head of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC|ICD10_code:S52123B:phenoname:Displaced fracture of head of unspecified radius, initial encounter for open fracture type I or II
9349	Foreign body in respiratory tree, unspecified	ICD10_code:T17998A:phenoname:Other foreign object in respiratory tract, part unspecified causing other injury, initial encounter|ICD10_code:T17990A:phenoname:Other foreign object in respiratory tract, part unspecified in causing asphyxiation, initial encounter|ICD10_code:T17928A:phenoname:Food in respiratory tract, part unspecified causing other injury, initial encounter|ICD10_code:T17920A:phenoname:Food in respiratory tract, part unspecified causing asphyxiation, initial encounter|ICD10_code:T17918A:phenoname:Gastric contents in respiratory tract, part unspecified causing other injury, initial encounter|ICD10_code:T17910A:phenoname:Gastric contents in respiratory tract, part unspecified causing asphyxiation, initial encounter|ICD10_code:T17908A:phenoname:Unspecified foreign body in respiratory tract, part unspecified causing other injury, initial encounter|ICD10_code:T17900A:phenoname:Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation, initial encounter
64231	Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition	ICD10_code:O163:phenoname:Unspecified maternal hypertension, third trimester|ICD10_code:O162:phenoname:Unspecified maternal hypertension, second trimester|ICD10_code:O161:phenoname:Unspecified maternal hypertension, first trimester|ICD10_code:O134:phenoname:Gestational [pregnancy-induced] hypertension without significant proteinuria, complicating childbirth|ICD10_code:O133:phenoname:Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester|ICD10_code:O132:phenoname:Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester|ICD10_code:O131:phenoname:Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester
7488	Other specified anomalies of respiratory system	ICD10_code:Q348:phenoname:Other specified congenital malformations of respiratory system|ICD10_code:Q341:phenoname:Congenital cyst of mediastinum|ICD10_code:Q340:phenoname:Anomaly of pleura
70703	Pressure ulcer, lower back	ICD10_code:L89159:phenoname:Pressure ulcer of sacral region, unspecified stage|ICD10_code:L89149:phenoname:Pressure ulcer of left lower back, unspecified stage|ICD10_code:L89139:phenoname:Pressure ulcer of right lower back, unspecified stage
4540	Varicose veins of lower extremities with ulcer	ICD10_code:I83029:phenoname:Varicose veins of left lower extremity with ulcer of unspecified site|ICD10_code:I83019:phenoname:Varicose veins of right lower extremity with ulcer of unspecified site|ICD10_code:I83009:phenoname:Varicose veins of unspecified lower extremity with ulcer of unspecified site
936	Foreign body in intestine and colon	ICD10_code:T184XXA:phenoname:Foreign body in colon, initial encounter|ICD10_code:T183XXA:phenoname:Foreign body in small intestine, initial encounter
96972	Poisoning by amphetamines	ICD10_code:T43624A:phenoname:Poisoning by amphetamines, undetermined, initial encounter|ICD10_code:T43623A:phenoname:Poisoning by amphetamines, assault, initial encounter|ICD10_code:T43622A:phenoname:Poisoning by amphetamines, intentional self-harm, initial encounter|ICD10_code:T43621A:phenoname:Poisoning by amphetamines, accidental (unintentional), initial encounter
65883	Other problems associated with amniotic cavity and membranes, antepartum	ICD10_code:O418X30:phenoname:Other specified disorders of amniotic fluid and membranes, third trimester, not applicable or unspecified|ICD10_code:O418X20:phenoname:Other specified disorders of amniotic fluid and membranes, second trimester, not applicable or unspecified|ICD10_code:O418X10:phenoname:Other specified disorders of amniotic fluid and membranes, first trimester, not applicable or unspecified
9462	Blisters, epidermal loss [second degree] of multiple specified sites	ICD10_code:T304:phenoname:Corrosion of unspecified body region, unspecified degree|ICD10_code:T300:phenoname:Burn of unspecified body region, unspecified degree
4778	Allergic rhinitis due to other allergen	ICD10_code:J3089:phenoname:Other allergic rhinitis|ICD10_code:J302:phenoname:Other seasonal allergic rhinitis
30741	Transient disorder of initiating or maintaining sleep	ICD10_code:F5102:phenoname:Adjustment insomnia|ICD10_code:F5109:phenoname:Other insomnia not due to a substance or known physiological condition
30742	Persistent disorder of initiating or maintaining sleep	ICD10_code:F5109:phenoname:Other insomnia not due to a substance or known physiological condition|ICD10_code:F5103:phenoname:Paradoxical insomnia|ICD10_code:F5101:phenoname:Primary insomnia
7842	Swelling, mass, or lump in head and neck	ICD10_code:R221:phenoname:Localized swelling, mass and lump, neck|ICD10_code:R220:phenoname:Localized swelling, mass and lump, head
81243	Closed fracture of medial condyle of humerus	ICD10_code:S42466A:phenoname:Nondisplaced fracture of medial condyle of unspecified humerus, initial encounter for closed fracture|ICD10_code:S42463A:phenoname:Displaced fracture of medial condyle of unspecified humerus, initial encounter for closed fracture|ICD10_code:S42446A:phenoname:Nondisplaced fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for closed fracture|ICD10_code:S42443A:phenoname:Displaced fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for closed fracture
8780	Open wound of penis, without mention of complication	ICD10_code:S38222A:phenoname:Partial traumatic amputation of penis, initial encounter|ICD10_code:S38221A:phenoname:Complete traumatic amputation of penis, initial encounter|ICD10_code:S3120XA:phenoname:Unspecified open wound of penis, initial encounter
4359	Unspecified transient cerebral ischemia	ICD10_code:I67848:phenoname:Other cerebrovascular vasospasm and vasoconstriction|ICD10_code:G459:phenoname:Transient cerebral ischemic attack, unspecified
2753	Disorders of phosphorus metabolism	ICD10_code:E8339:phenoname:Other disorders of phosphorus metabolism|ICD10_code:E8332:phenoname:Hereditary vitamin D-dependent rickets (type 1) (type 2)|ICD10_code:E8331:phenoname:Familial hypophosphatemia|ICD10_code:E8330:phenoname:Disorder of phosphorus metabolism, unspecified
2163	Benign neoplasm of skin of other and unspecified parts of face	ICD10_code:D2339:phenoname:Other benign neoplasm of skin of other parts of face|ICD10_code:D2330:phenoname:Other benign neoplasm of skin of unspecified part of face
78659	Other chest pain	ICD10_code:R0789:phenoname:Other chest pain|ICD10_code:R0782:phenoname:Intercostal pain
81502	Closed fracture of base of other metacarpal bone(s)	ICD10_code:S62349A:phenoname:Nondisplaced fracture of base of unspecified metacarpal bone, initial encounter for closed fracture|ICD10_code:S62319A:phenoname:Displaced fracture of base of unspecified metacarpal bone, initial encounter for closed fracture
64823	Anemia of mother, antepartum condition or complication	ICD10_code:O99013:phenoname:Anemia complicating pregnancy, third trimester|ICD10_code:O99012:phenoname:Anemia complicating pregnancy, second trimester|ICD10_code:O99011:phenoname:Anemia complicating pregnancy, first trimester
80221	Closed fracture of mandible, condylar process	ICD10_code:S02612A:phenoname:Fracture of condylar process of left mandible, initial encounter for closed fracture|ICD10_code:S02611A:phenoname:Fracture of condylar process of right mandible, initial encounter for closed fracture|ICD10_code:S02610A:phenoname:Fracture of condylar process of mandible, unspecified side, initial encounter for closed fracture
51851	Acute respiratory failure following trauma and surgery	ICD10_code:J9600:phenoname:Acute respiratory failure, unspecified whether with hypoxia or hypercapnia|ICD10_code:J95821:phenoname:Acute postprocedural respiratory failure
6803	Carbuncle and furuncle of upper arm and forearm	ICD10_code:L02439:phenoname:Carbuncle of limb, unspecified|ICD10_code:L02429:phenoname:Furuncle of limb, unspecified
99813	Seroma complicating a procedure	ICD10_code:T888XXA:phenoname:Other specified complications of surgical and medical care, not elsewhere classified, initial encounter|ICD10_code:N99843:phenoname:Postprocedural seroma of a genitourinary system organ or structure following other procedure|ICD10_code:N99842:phenoname:Postprocedural seroma of a genitourinary system organ or structure following a genitourinary system procedure|ICD10_code:M96843:phenoname:Postprocedural seroma of a musculoskeletal structure following other procedure|ICD10_code:M96842:phenoname:Postprocedural seroma of a musculoskeletal structure following a musculoskeletal system procedure|ICD10_code:L7634:phenoname:Postprocedural seroma of skin and subcutaneous tissue following other procedure|ICD10_code:L7633:phenoname:Postprocedural seroma of skin and subcutaneous tissue following a dermatologic procedure|ICD10_code:K91873:phenoname:Postprocedural seroma of a digestive system organ or structure following other procedure|ICD10_code:K91872:phenoname:Postprocedural seroma of a digestive system organ or structure following a digestive system procedure|ICD10_code:J95863:phenoname:Postprocedural seroma of a respiratory system organ or structure following other procedure|ICD10_code:J95862:phenoname:Postprocedural seroma of a respiratory system organ or structure following a respiratory system procedure|ICD10_code:I97648:phenoname:Postprocedural seroma of a circulatory system organ or structure following other circulatory system procedure|ICD10_code:I97641:phenoname:Postprocedural seroma of a circulatory system organ or structure following cardiac bypass|ICD10_code:I97640:phenoname:Postprocedural seroma of a circulatory system organ or structure following a cardiac catheterization|ICD10_code:I97622:phenoname:Postprocedural seroma of a circulatory system organ or structure following other procedure|ICD10_code:H9554:phenoname:Postprocedural seroma of ear and mastoid process following other procedure|ICD10_code:H9553:phenoname:Postprocedural seroma of ear and mastoid process following a procedure on the ear and mastoid process|ICD10_code:H59369:phenoname:Postprocedural seroma of unspecified eye and adnexa following other procedure|ICD10_code:H59363:phenoname:Postprocedural seroma of eye and adnexa following other procedure, bilateral|ICD10_code:H59362:phenoname:Postprocedural seroma of left eye and adnexa following other procedure|ICD10_code:H59361:phenoname:Postprocedural seroma of right eye and adnexa following other procedure|ICD10_code:H59359:phenoname:Postprocedural seroma of unspecified eye and adnexa following an ophthalmic procedure|ICD10_code:H59353:phenoname:Postprocedural seroma of eye and adnexa following an ophthalmic procedure, bilateral|ICD10_code:H59352:phenoname:Postprocedural seroma of left eye and adnexa following an ophthalmic procedure|ICD10_code:H59351:phenoname:Postprocedural seroma of right eye and adnexa following an ophthalmic procedure|ICD10_code:G9764:phenoname:Postprocedural seroma of a nervous system organ or structure following other procedure|ICD10_code:G9763:phenoname:Postprocedural seroma of a nervous system organ or structure following a nervous system procedure|ICD10_code:E89823:phenoname:Postprocedural seroma of an endocrine system organ or structure following other procedure|ICD10_code:E89822:phenoname:Postprocedural seroma of an endocrine system organ or structure following an endocrine system procedure|ICD10_code:D7834:phenoname:Postprocedural seroma of the spleen following other procedure|ICD10_code:D7833:phenoname:Postprocedural seroma of the spleen following a procedure on the spleen
2141	Lipoma of other skin and subcutaneous tissue	ICD10_code:D1739:phenoname:Benign lipomatous neoplasm of skin and subcutaneous tissue of other sites|ICD10_code:D1730:phenoname:Benign lipomatous neoplasm of skin and subcutaneous tissue of unspecified sites|ICD10_code:D171:phenoname:Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
4169	Chronic pulmonary heart disease, unspecified	ICD10_code:I279:phenoname:Pulmonary heart disease, unspecified|ICD10_code:I2781:phenoname:Cor pulmonale (chronic)
5111	Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis	ICD10_code:J942:phenoname:Hemothorax|ICD10_code:J90:phenoname:Pleural effusion, not elsewhere classified
82123	Closed supracondylar fracture of femur	ICD10_code:S72456A:phenoname:Nondisplaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for closed fracture|ICD10_code:S72453A:phenoname:Displaced supracondylar fracture without intracondylar extension of lower end of unspecified femur, initial encounter for closed fracture
30590	Other, mixed, or unspecified drug abuse, unspecified	ICD10_code:F1910:phenoname:Other psychoactive substance abuse, uncomplicated|ICD10_code:F1810:phenoname:Inhalant abuse, uncomplicated
6822	Cellulitis and abscess of trunk	ICD10_code:L03329:phenoname:Acute lymphangitis of trunk, unspecified|ICD10_code:L03319:phenoname:Cellulitis of trunk, unspecified
99686	Complications of transplanted pancreas	ICD10_code:T86899:phenoname:Unspecified complication of other transplanted tissue|ICD10_code:T86891:phenoname:Other transplanted tissue failure|ICD10_code:T86890:phenoname:Other transplanted tissue rejection
78009	Other alteration of consciousness	ICD10_code:R401:phenoname:Stupor|ICD10_code:R400:phenoname:Somnolence
72764	Nontraumatic rupture of flexor tendons of hand and wrist	ICD10_code:M66349:phenoname:Spontaneous rupture of flexor tendons, unspecified hand|ICD10_code:M66339:phenoname:Spontaneous rupture of flexor tendons, unspecified forearm
94311	Erythema [first degree] of forearm	ICD10_code:T22519A:phenoname:Corrosion of first degree of unspecified forearm, initial encounter|ICD10_code:T22119A:phenoname:Burn of first degree of unspecified forearm, initial encounter
2832	Hemoglobinuria due to hemolysis from external causes	ICD10_code:D598:phenoname:Other acquired hemolytic anemias|ICD10_code:D596:phenoname:Hemoglobinuria due to hemolysis from other external causes|ICD10_code:D595:phenoname:Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]
64252	Severe pre-eclampsia, delivered, with mention of postpartum complication	ICD10_code:O1425:phenoname:HELLP syndrome, complicating the puerperium|ICD10_code:O1423:phenoname:HELLP syndrome (HELLP), third trimester|ICD10_code:O1422:phenoname:HELLP syndrome (HELLP), second trimester|ICD10_code:O1415:phenoname:Severe pre-eclampsia, complicating the puerperium|ICD10_code:O1413:phenoname:Severe pre-eclampsia, third trimester|ICD10_code:O1412:phenoname:Severe pre-eclampsia, second trimester
E9298	Late effects of other accidents	ICD10_code:Y33XXXS:phenoname:Other specified events, undetermined intent, sequela|ICD10_code:X509XXS:phenoname:Other and unspecified overexertion or strenuous movements or postures, sequela|ICD10_code:X503XXS:phenoname:Overexertion from repetitive movements, sequela|ICD10_code:X501XXS:phenoname:Overexertion from prolonged static or awkward postures, sequela|ICD10_code:X500XXS:phenoname:Overexertion from strenuous movement or load, sequela
7569	Other and unspecified anomalies of musculoskeletal system	ICD10_code:Q799:phenoname:Congenital malformation of musculoskeletal system, unspecified|ICD10_code:Q798:phenoname:Other congenital malformations of musculoskeletal system|ICD10_code:Q688:phenoname:Other specified congenital musculoskeletal deformities
5369	Unspecified functional disorder of stomach	ICD10_code:K319:phenoname:Disease of stomach and duodenum, unspecified|ICD10_code:K3189:phenoname:Other diseases of stomach and duodenum
94422	Blisters, epidermal loss [second degree] of thumb (nail)	ICD10_code:T23619A:phenoname:Corrosion of second degree of unspecified thumb (nail), initial encounter|ICD10_code:T23219A:phenoname:Burn of second degree of unspecified thumb (nail), initial encounter
2323	Carcinoma in situ of skin of other and unspecified parts of face	ICD10_code:D0439:phenoname:Carcinoma in situ of skin of other parts of face|ICD10_code:D0430:phenoname:Carcinoma in situ of skin of unspecified part of face
94220	Blisters, epidermal loss [second degree] of trunk, unspecified site	ICD10_code:T2160XA:phenoname:Corrosion of second degree of trunk, unspecified site, initial encounter|ICD10_code:T2120XA:phenoname:Burn of second degree of trunk, unspecified site, initial encounter
5110	Pleurisy without mention of effusion or current tuberculosis	ICD10_code:R091:phenoname:Pleurisy|ICD10_code:J949:phenoname:Pleural condition, unspecified|ICD10_code:J948:phenoname:Other specified pleural conditions|ICD10_code:J941:phenoname:Fibrothorax|ICD10_code:J869:phenoname:Pyothorax without fistula
51852	Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery	ICD10_code:J953:phenoname:Chronic pulmonary insufficiency following surgery|ICD10_code:J952:phenoname:Acute pulmonary insufficiency following nonthoracic surgery|ICD10_code:J951:phenoname:Acute pulmonary insufficiency following thoracic surgery
20502	Acute myeloid leukemia, in relapse	ICD10_code:C9252:phenoname:Acute myelomonocytic leukemia, in relapse|ICD10_code:C9242:phenoname:Acute promyelocytic leukemia, in relapse|ICD10_code:C9202:phenoname:Acute myeloblastic leukemia, in relapse
5641	Irritable bowel syndrome	ICD10_code:K589:phenoname:Irritable bowel syndrome without diarrhea|ICD10_code:K588:phenoname:Other irritable bowel syndrome|ICD10_code:K582:phenoname:Mixed irritable bowel syndrome|ICD10_code:K581:phenoname:Irritable bowel syndrome with constipation
36520	Primary angle-closure glaucoma, unspecified	ICD10_code:H4020X4:phenoname:Unspecified primary angle-closure glaucoma, indeterminate stage|ICD10_code:H4020X3:phenoname:Unspecified primary angle-closure glaucoma, severe stage|ICD10_code:H4020X2:phenoname:Unspecified primary angle-closure glaucoma, moderate stage|ICD10_code:H4020X1:phenoname:Unspecified primary angle-closure glaucoma, mild stage|ICD10_code:H4020X0:phenoname:Unspecified primary angle-closure glaucoma, stage unspecified
30592	Other, mixed, or unspecified drug abuse, episodic	ICD10_code:F1910:phenoname:Other psychoactive substance abuse, uncomplicated|ICD10_code:F1810:phenoname:Inhalant abuse, uncomplicated
